Format Version,1.23,Take Name,Tweaker4FPV_WithGoPro_001,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 02.41.25.539 PM,Total Frames in Take,27287,Total Exported Frames,27287,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4
,ID,"CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
50,0.277778,0.002989,-0.020295,-0.000595,-0.999789,-6.987841,44.818901,-23.438334,0.334455
51,0.283333,0.002983,-0.020274,-0.000643,-0.999790,-6.985102,44.809410,-23.436798,0.333350
52,0.288889,0.002935,-0.020284,-0.000699,-0.999790,-6.972273,44.809769,-23.446262,0.318178
53,0.294444,0.002915,-0.020377,-0.000675,-0.999788,-6.976837,44.822060,-23.446308,0.320587
54,0.300000,0.002879,-0.020303,-0.000749,-0.999789,-6.972529,44.810589,-23.453276,0.327893
55,0.305556,0.002877,-0.020300,-0.000771,-0.999789,-6.968977,44.809334,-23.450994,0.329901
56,0.311111,0.002959,-0.020208,-0.000683,-0.999791,-6.986144,44.812622,-23.443176,0.322653
57,0.316667,0.002954,-0.020196,-0.000666,-0.999792,-6.987219,44.816372,-23.443470,0.325199
58,0.322222,0.003010,-0.020291,-0.000600,-0.999789,-6.988114,44.818443,-23.432058,0.323152
59,0.327778,0.002942,-0.020266,-0.000720,-0.999790,-6.978833,44.804710,-23.437597,0.335370
60,0.333333,0.002978,-0.020290,-0.000603,-0.999790,-6.984596,44.814232,-23.434811,0.329519
61,0.338889,0.002948,-0.020287,-0.000643,-0.999790,-6.985626,44.812035,-23.441082,0.337545
62,0.344444,0.002903,-0.020356,-0.000672,-0.999788,-6.972831,44.807770,-23.444590,0.329291
63,0.350000,0.002870,-0.020355,-0.000778,-0.999788,-6.973910,44.803402,-23.450813,0.323654
64,0.355556,0.002876,-0.020407,-0.000823,-0.999787,-6.971388,44.803715,-23.454004,0.330503
65,0.361111,0.002917,-0.020315,-0.000731,-0.999789,-6.981773,44.803471,-23.444267,0.336117
66,0.366667,0.002946,-0.020315,-0.000706,-0.999789,-6.994504,44.806679,-23.446344,0.338572
67,0.372222,0.002891,-0.020332,-0.000812,-0.999789,-6.979167,44.792416,-23.455606,0.330643
68,0.377778,0.002949,-0.020419,-0.000626,-0.999787,-6.982217,44.807453,-23.452797,0.330203
69,0.383333,0.002912,-0.020272,-0.000690,-0.999790,-6.989695,44.802414,-23.456781,0.333015
70,0.388889,0.002920,-0.020385,-0.000802,-0.999788,-6.977962,44.802147,-23.459959,0.331448
71,0.394444,0.002967,-0.020345,-0.000735,-0.999788,-6.995495,44.810558,-23.453581,0.337910
72,0.400000,0.002968,-0.020328,-0.000701,-0.999789,-6.996680,44.820034,-23.450016,0.330688
73,0.405556,0.003010,-0.020368,-0.000704,-0.999788,-6.977128,44.815781,-23.456520,0.312014
74,0.411111,0.002981,-0.020397,-0.000726,-0.999787,-6.974248,44.810528,-23.461250,0.314319
75,0.416667,0.002933,-0.020390,-0.000780,-0.999788,-6.976070,44.799587,-23.458025,0.328213
76,0.422222,0.002940,-0.020279,-0.000725,-0.999790,-6.992263,44.804878,-23.454338,0.335336
77,0.427778,0.002924,-0.020294,-0.000683,-0.999790,-6.989018,44.809872,-23.448351,0.339329
78,0.433333,0.002922,-0.020259,-0.000751,-0.999790,-6.992166,44.802711,-23.450735,0.336041
79,0.438889,0.002926,-0.020381,-0.000725,-0.999788,-6.976516,44.798260,-23.453810,0.329129
80,0.444444,0.002946,-0.020294,-0.000709,-0.999789,-6.990322,44.804691,-23.453640,0.334941
81,0.450000,0.002946,-0.020294,-0.000690,-0.999789,-6.989585,44.811455,-23.447350,0.337271
82,0.455556,0.002945,-0.020302,-0.000703,-0.999789,-6.990529,44.807484,-23.443781,0.343555
83,0.461111,0.002977,-0.020308,-0.000670,-0.999789,-6.989034,44.810394,-23.442593,0.337400
84,0.466667,0.002983,-0.020347,-0.000666,-0.999788,-6.987076,44.820858,-23.439823,0.333244
85,0.472222,0.002960,-0.020335,-0.000729,-0.999789,-6.973943,44.815414,-23.452990,0.318999
86,0.477778,0.003026,-0.020325,-0.000643,-0.999789,-7.011868,44.808411,-23.436539,0.294770
87,0.483333,0.002940,-0.020335,-0.000720,-0.999789,-6.979379,44.801533,-23.449907,0.323594
88,0.488889,0.002922,-0.020368,-0.000743,-0.999788,-6.967697,44.802502,-23.453520,0.333106
89,0.494444,0.002913,-0.020301,-0.000705,-0.999789,-6.985184,44.808971,-23.448490,0.333564
90,0.500000,0.002947,-0.020338,-0.000618,-0.999789,-6.974024,44.814491,-23.449968,0.326735
91,0.505556,0.002922,-0.020366,-0.000671,-0.999788,-6.974251,44.806839,-23.454256,0.319166
92,0.511111,0.002921,-0.020313,-0.000661,-0.999789,-6.981670,44.810688,-23.448586,0.335080
93,0.516667,0.002952,-0.020340,-0.000639,-0.999789,-6.993138,44.811913,-23.443928,0.335963
94,0.522222,0.002918,-0.020296,-0.000666,-0.999790,-6.991432,44.803871,-23.441996,0.328876
95,0.527778,0.002890,-0.020338,-0.000674,-0.999789,-6.974984,44.805202,-23.450207,0.329964
96,0.533333,0.002946,-0.020324,-0.000640,-0.999789,-6.984712,44.807442,-23.443233,0.337230
97,0.538889,0.002945,-0.020308,-0.000659,-0.999789,-6.987658,44.806656,-23.446804,0.339734
98,0.544444,0.002950,-0.020318,-0.000714,-0.999789,-6.976738,44.799660,-23.455530,0.326307
99,0.550000,0.002985,-0.020306,-0.000694,-0.999789,-6.988164,44.807728,-23.449570,0.333215
100,0.555556,0.002998,-0.020313,-0.000574,-0.999789,-6.992007,44.818962,-23.443375,0.322577
101,0.561111,0.002949,-0.020343,-0.000628,-0.999789,-6.989380,44.809978,-23.441839,0.339487
102,0.566667,0.002991,-0.020377,-0.000681,-0.999788,-6.967800,44.804016,-23.454929,0.324300
103,0.572222,0.002935,-0.020350,-0.000701,-0.999788,-6.976784,44.801743,-23.449425,0.339613
104,0.577778,0.002904,-0.020338,-0.000696,-0.999789,-6.988133,44.804653,-23.452719,0.338312
105,0.583333,0.002993,-0.020334,-0.000555,-0.999789,-6.991257,44.820518,-23.454887,0.325992
106,0.588889,0.002973,-0.020282,-0.000659,-0.999790,-6.992306,44.808826,-23.456957,0.331520
107,0.594444,0.002895,-0.020346,-0.000714,-0.999789,-6.969551,44.803223,-23.461227,0.336909
108,0.600000,0.002903,-0.020401,-0.000723,-0.999787,-6.969220,44.805592,-23.455099,0.333635
109,0.605556,0.002930,-0.020337,-0.000690,-0.999789,-6.988815,44.811703,-23.444313,0.340449
110,0.611111,0.002960,-0.020278,-0.000742,-0.999790,-6.988342,44.807133,-23.440336,0.341712
111,0.616667,0.002936,-0.020383,-0.000710,-0.999788,-6.976918,44.813225,-23.446190,0.323864
112,0.622222,0.002989,-0.020324,-0.000673,-0.999789,-6.986909,44.812485,-23.444159,0.336786
113,0.627778,0.002964,-0.020293,-0.000676,-0.999789,-6.989586,44.808952,-23.437469,0.333611
114,0.633333,0.002973,-0.020349,-0.000639,-0.999788,-6.972844,44.822815,-23.447226,0.322412
115,0.638889,0.002937,-0.020269,-0.000692,-0.999790,-6.981102,44.817966,-23.442223,0.340158
116,0.644444,0.002886,-0.020349,-0.000738,-0.999789,-6.974075,44.812778,-23.447775,0.332148
117,0.650000,0.002975,-0.020313,-0.000602,-0.999789,-6.987924,44.822128,-23.441992,0.328134
118,0.655556,0.003041,-0.020287,-0.000644,-0.999789,-6.983254,44.819408,-23.437658,0.330599
119,0.661111,0.003019,-0.020285,-0.000731,-0.999789,-6.990579,44.809330,-23.439920,0.333216
120,0.666667,0.002986,-0.020364,-0.000643,-0.999788,-7.013016,44.807766,-23.426357,0.307655
121,0.672222,0.002977,-0.020360,-0.000570,-0.999788,-6.996896,44.820763,-23.433355,0.332113
122,0.677778,0.002969,-0.020326,-0.000696,-0.999789,-6.989284,44.809105,-23.435375,0.330169
123,0.683333,0.002967,-0.020342,-0.000647,-0.999789,-6.986262,44.809887,-23.439526,0.335440
124,0.688889,0.002963,-0.020317,-0.000736,-0.999789,-6.974456,44.805958,-23.445433,0.318108
125,0.694444,0.002979,-0.020370,-0.000656,-0.999788,-6.971488,44.823135,-23.447493,0.316594
126,0.700000,0.002955,-0.020301,-0.000637,-0.999789,-6.980746,44.815777,-23.442888,0.338142
127,0.705556,0.002933,-0.020253,-0.000670,-0.999790,-6.984775,44.815136,-23.439676,0.340226
128,0.711111,0.002981,-0.020285,-0.000675,-0.999790,-6.988032,44.811653,-23.440500,0.344733
129,0.716667,0.002953,-0.020362,-0.000664,-0.999788,-6.976664,44.815643,-23.442701,0.325972
130,0.722222,0.003023,-0.020294,-0.000621,-0.999789,-6.984689,44.818260,-23.437220,0.326023
131,0.727778,0.002966,-0.020292,-0.000733,-0.999789,-6.976387,44.810612,-23.450567,0.320960
132,0.733333,0.002970,-0.020343,-0.000655,-0.999789,-6.969697,44.819363,-23.448174,0.325095
133,0.738889,0.002998,-0.020313,-0.000607,-0.999789,-6.986368,44.821850,-23.441278,0.337940
134,0.744444,0.002950,-0.020330,-0.000659,-0.999789,-6.979527,44.814819,-23.446085,0.323604
135,0.750000,0.002913,-0.020369,-0.000723,-0.999788,-6.975973,44.812244,-23.451639,0.328723
136,0.755556,0.003011,-0.020285,-0.000630,-0.999790,-6.979686,44.819080,-23.442133,0.326527
137,0.761111,0.002971,-0.020267,-0.000641,-0.999790,-6.987727,44.810482,-23.441984,0.331508
138,0.766667,0.002961,-0.020266,-0.000668,-0.999790,-6.990116,44.806004,-23.442335,0.344996
139,0.772222,0.002904,-0.020300,-0.000779,-0.999789,-6.981243,44.799671,-23.452885,0.327234
140,0.777778,0.003002,-0.020367,-0.000703,-0.999788,-6.962230,44.810108,-23.455519,0.320821
141,0.783333,0.002996,-0.020335,-0.000674,-0.999789,-6.982479,44.815746,-23.449503,0.325949
142,0.788889,0.002995,-0.020302,-0.000754,-0.999789,-6.987485,44.808514,-23.448584,0.332121
143,0.794444,0.002975,-0.020324,-0.000685,-0.999789,-6.991873,44.809071,-23.449377,0.339753
144,0.800000,0.002943,-0.020406,-0.000684,-0.999787,-6.972803,44.810188,-23.458694,0.329756
145,0.805556,0.002940,-0.020465,-0.000652,-0.999786,-6.975252,44.810989,-23.459887,0.325788
146,0.811111,0.002942,-0.020419,-0.000713,-0.999787,-6.968490,44.799557,-23.463362,0.327209
147,0.816667,0.002952,-0.020400,-0.000681,-0.999787,-6.971626,44.807922,-23.459126,0.321774
148,0.822222,0.002998,-0.020298,-0.000684,-0.999789,-6.981865,44.801926,-23.454983,0.335614
149,0.827778,0.002950,-0.020319,-0.000733,-0.999789,-6.974934,44.797585,-23.459322,0.325833
150,0.833333,0.002943,-0.020354,-0.000778,-0.999788,-6.969493,44.793564,-23.459053,0.330050
151,0.838889,0.002950,-0.020291,-0.000783,-0.999789,-6.986454,44.798222,-23.453163,0.333425
152,0.844444,0.002995,-0.020312,-0.000655,-0.999789,-6.989682,44.816490,-23.445488,0.323271
153,0.850000,0.002993,-0.020401,-0.000650,-0.999787,-6.972159,44.823395,-23.450853,0.320757
154,0.855556,0.003022,-0.020312,-0.000627,-0.999789,-6.981547,44.820309,-23.448790,0.325096
155,0.861111,0.002947,-0.020365,-0.000712,-0.999788,-6.968746,44.803043,-23.454346,0.325704
156,0.866667,0.002931,-0.020290,-0.000719,-0.999790,-6.989858,44.803543,-23.454405,0.332524
157,0.872222,0.002907,-0.020368,-0.000750,-0.999788,-6.973325,44.797459,-23.452967,0.324531
158,0.877778,0.002991,-0.020250,-0.000713,-0.999790,-6.977190,44.801888,-23.450233,0.325305
159,0.883333,0.002987,-0.020324,-0.000614,-0.999789,-6.985416,44.811329,-23.443888,0.333626
160,0.888889,0.002942,-0.020335,-0.000674,-0.999789,-6.989212,44.806969,-23.446201,0.337750
161,0.894444,0.002956,-0.020419,-0.000611,-0.999787,-6.980412,44.820873,-23.451584,0.320487
162,0.900000,0.002991,-0.020360,-0.000580,-0.999788,-6.983303,44.828339,-23.445124,0.323570
163,0.905556,0.002960,-0.020360,-0.000715,-0.999788,-6.968938,44.811501,-23.459105,0.328892
164,0.911111,0.003028,-0.020343,-0.000661,-0.999788,-6.986244,44.815540,-23.445478,0.320199
165,0.916667,0.002951,-0.020346,-0.000791,-0.999788,-6.967188,44.796673,-23.454107,0.328617
166,0.922222,0.002965,-0.020380,-0.000712,-0.999788,-6.987313,44.798397,-23.446350,0.337769
167,0.927778,0.002908,-0.020403,-0.000757,-0.999787,-6.970326,44.793297,-23.452530,0.336138
168,0.933333,0.002942,-0.020317,-0.000735,-0.999789,-6.990314,44.800869,-23.449751,0.328955
169,0.938889,0.002926,-0.020331,-0.000726,-0.999789,-6.978020,44.806358,-23.453445,0.325619
170,0.944444,0.002970,-0.020381,-0.000648,-0.999788,-6.970326,44.816460,-23.448435,0.320809
171,0.950000,0.002970,-0.020293,-0.000749,-0.999789,-6.985287,44.806347,-23.448099,0.328427
172,0.955556,0.002963,-0.020285,-0.000703,-0.999790,-6.991780,44.806061,-23.445683,0.339220
173,0.961111,0.002986,-0.020382,-0.000636,-0.999788,-6.975867,44.815002,-23.449718,0.323543
174,0.966667,0.002961,-0.020365,-0.000644,-0.999788,-6.982612,44.809814,-23.443962,0.339449
175,0.972222,0.002981,-0.020408,-0.000632,-0.999787,-6.984629,44.812916,-23.445505,0.324304
176,0.977778,0.002941,-0.020460,-0.000657,-0.999786,-6.977971,44.809139,-23.447119,0.328586
177,0.983333,0.002956,-0.020430,-0.000645,-0.999787,-6.973014,44.811943,-23.449823,0.326037
178,0.988889,0.002953,-0.020303,-0.000759,-0.999789,-6.988873,44.801281,-23.451731,0.338320
179,0.994444,0.002839,-0.020228,-0.000731,-0.999791,-6.993930,44.798092,-23.451452,0.340411
180,1.000000,0.002907,-0.020389,-0.000740,-0.999788,-6.978199,44.811321,-23.450804,0.333349
181,1.005556,0.002974,-0.020353,-0.000616,-0.999788,-6.983343,44.824104,-23.437851,0.337849
182,1.011111,0.002966,-0.020422,-0.000675,-0.999787,-6.973483,44.823505,-23.450735,0.325100
183,1.016667,0.002959,-0.020272,-0.000751,-0.999790,-6.972610,44.808308,-23.449434,0.337138
184,1.022222,0.002972,-0.020280,-0.000774,-0.999790,-6.989268,44.811321,-23.446276,0.334107
185,1.027778,0.002901,-0.020374,-0.000763,-0.999788,-6.978215,44.806305,-23.450798,0.328857
186,1.033333,0.002914,-0.020288,-0.000780,-0.999790,-6.986213,44.798355,-23.448175,0.330949
187,1.038889,0.002877,-0.020449,-0.000719,-0.999786,-6.980889,44.805805,-23.452969,0.334429
188,1.044444,0.002930,-0.020461,-0.000666,-0.999786,-6.969428,44.816193,-23.454626,0.322053
189,1.050000,0.002956,-0.020408,-0.000767,-0.999787,-6.965588,44.799355,-23.460340,0.326584
190,1.055556,0.002983,-0.020348,-0.000660,-0.999788,-6.982467,44.815052,-23.456682,0.336120
191,1.061111,0.002962,-0.020421,-0.000647,-0.999787,-6.973116,44.818104,-23.460503,0.327149
192,1.066667,0.002940,-0.020473,-0.000664,-0.999786,-6.968220,44.815937,-23.465466,0.328270
193,1.072222,0.002982,-0.020364,-0.000711,-0.999788,-6.979403,44.801659,-23.460943,0.334307
194,1.077778,0.003000,-0.020378,-0.000727,-0.999788,-6.975881,44.797836,-23.466898,0.324237
195,1.083333,0.003053,-0.020363,-0.000594,-0.999788,-6.980932,44.809772,-23.457531,0.332881
196,1.088889,0.002946,-0.020435,-0.000670,-0.999787,-6.978467,44.801266,-23.461630,0.336209
197,1.094444,0.002939,-0.020365,-0.000687,-0.999788,-6.990085,44.809410,-23.449759,0.340879
