Format Version,1.23,Take Name,Tweaker4LOS_WithGoPro_005,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 03.34.45.325 PM,Total Frames in Take,21875,Total Exported Frames,21875,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4
,ID,"F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
54,0.300000,-0.093328,0.001390,0.091541,-0.991417,10.245452,45.851410,19.229183,0.377105
55,0.305556,-0.093267,0.001342,0.091695,-0.991409,10.247466,45.836586,19.217299,0.359047
56,0.311111,-0.093237,0.001340,0.091707,-0.991410,10.248717,45.829220,19.213736,0.358892
57,0.316667,-0.093274,0.001347,0.091711,-0.991407,10.253813,45.824173,19.215870,0.359468
58,0.322222,-0.093307,0.001333,0.091688,-0.991406,10.255655,45.826035,19.220385,0.357042
59,0.327778,-0.093364,0.001299,0.091696,-0.991400,10.253640,45.824520,19.223938,0.369429
60,0.333333,-0.093309,0.001314,0.091680,-0.991406,10.255672,45.828136,19.217417,0.366263
61,0.338889,-0.093366,0.001319,0.091676,-0.991401,10.259408,45.828773,19.217213,0.373340
62,0.344444,-0.093312,0.001322,0.091707,-0.991404,10.253660,45.828465,19.213533,0.366163
63,0.350000,-0.093246,0.001317,0.091698,-0.991411,10.256090,45.827641,19.209808,0.360945
64,0.355556,-0.093291,0.001337,0.091708,-0.991405,10.258148,45.826588,19.215145,0.369232
65,0.361111,-0.093300,0.001397,0.091614,-0.991413,10.236901,45.844795,19.230158,0.366230
66,0.366667,-0.093300,0.001319,0.091677,-0.991408,10.246183,45.833958,19.221975,0.361931
67,0.372222,-0.093307,0.001254,0.091742,-0.991401,10.245026,45.835957,19.216921,0.364948
68,0.377778,-0.093330,0.001377,0.091661,-0.991406,10.237374,45.837982,19.229521,0.371004
69,0.383333,-0.093348,0.001412,0.091563,-0.991413,10.240088,45.838062,19.231182,0.382455
70,0.388889,-0.093353,0.001446,0.091559,-0.991413,10.239833,45.843002,19.236895,0.370844
71,0.394444,-0.093354,0.001417,0.091589,-0.991410,10.238448,45.835968,19.238104,0.383769
