Format Version,1.23,Take Name,FlacoFPV5s_withGoPro_003,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 03.23.19.036 PM,Total Frames in Take,28961,Total Exported Frames,28961,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Flaco5s,Flaco5s,Flaco5s,Flaco5s,Flaco5s,Flaco5s,Flaco5s,Flaco5s
,ID,"51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
52,0.288889,-0.001939,0.016843,-0.009599,-0.999810,6.487041,53.558971,-13.500998,0.647290
53,0.294444,-0.001898,0.016780,-0.009544,-0.999812,6.476281,53.561596,-13.497690,0.672985
54,0.300000,-0.001972,0.016867,-0.009607,-0.999810,6.474733,53.561577,-13.506737,0.630464
55,0.305556,-0.001900,0.016808,-0.009578,-0.999811,6.477895,53.559959,-13.500390,0.637795
56,0.311111,-0.001920,0.016869,-0.009668,-0.999809,6.473979,53.560802,-13.507265,0.637900
57,0.316667,-0.001819,0.016796,-0.009640,-0.999811,6.481250,53.565216,-13.512851,0.682461
58,0.322222,-0.001990,0.016883,-0.009615,-0.999809,6.477093,53.558037,-13.511034,0.630631
59,0.327778,-0.001986,0.016825,-0.009555,-0.999811,6.480917,53.557243,-13.499383,0.651880
60,0.333333,-0.002036,0.016814,-0.009591,-0.999811,6.476085,53.558605,-13.496923,0.631554
61,0.338889,-0.001834,0.016768,-0.009574,-0.999812,6.477299,53.556637,-13.505938,0.655384
62,0.344444,-0.001910,0.016813,-0.009573,-0.999811,6.486835,53.562878,-13.503758,0.640815
63,0.350000,-0.001984,0.016789,-0.009563,-0.999811,6.485413,53.571640,-13.495782,0.642824
64,0.355556,-0.001946,0.016758,-0.009525,-0.999812,6.478498,53.569813,-13.496732,0.640171
65,0.361111,-0.002009,0.016898,-0.009636,-0.999809,6.477173,53.564072,-13.508453,0.633201
66,0.366667,-0.001961,0.016824,-0.009543,-0.999811,6.481485,53.563560,-13.501107,0.677459
67,0.372222,-0.001948,0.016737,-0.009520,-0.999813,6.475859,53.566833,-13.493066,0.677250
68,0.377778,-0.001822,0.016821,-0.009661,-0.999810,6.479759,53.562557,-13.505494,0.659624
69,0.383333,-0.002010,0.016894,-0.009618,-0.999809,6.483119,53.559719,-13.506864,0.666116
70,0.388889,-0.002004,0.016828,-0.009571,-0.999811,6.486170,53.567871,-13.500103,0.645156
71,0.394444,-0.002015,0.016755,-0.009513,-0.999812,6.481073,53.575897,-13.489699,0.635751
72,0.400000,-0.002017,0.016893,-0.009643,-0.999809,6.483013,53.558010,-13.505751,0.638334
73,0.405556,-0.001963,0.016767,-0.009583,-0.999812,6.479495,53.560940,-13.497727,0.676456
74,0.411111,-0.002010,0.016891,-0.009611,-0.999809,6.480366,53.561642,-13.508687,0.634778
75,0.416667,-0.001956,0.016797,-0.009557,-0.999811,6.477781,53.562061,-13.497513,0.682661
76,0.422222,-0.001946,0.016893,-0.009659,-0.999809,6.474771,53.565639,-13.500483,0.644524
77,0.427778,-0.001925,0.016781,-0.009568,-0.999812,6.476561,53.566833,-13.496441,0.636034
78,0.433333,-0.001979,0.016768,-0.009523,-0.999812,6.482983,53.567062,-13.493826,0.642427
79,0.438889,-0.001940,0.016741,-0.009549,-0.999812,6.482517,53.562000,-13.495276,0.651805
80,0.444444,-0.002042,0.016742,-0.009504,-0.999813,6.477393,53.583359,-13.488497,0.635634
81,0.450000,-0.001882,0.016831,-0.009656,-0.999810,6.485261,53.574978,-13.501740,0.655891
82,0.455556,-0.001939,0.016817,-0.009612,-0.999811,6.491148,53.570145,-13.501390,0.651386
83,0.461111,-0.001954,0.016787,-0.009589,-0.999811,6.484684,53.565037,-13.499955,0.647156
84,0.466667,-0.001986,0.016794,-0.009594,-0.999811,6.487662,53.564449,-13.495637,0.642684
85,0.472222,-0.002096,0.016882,-0.009610,-0.999809,6.484279,53.564869,-13.496250,0.679072
86,0.477778,-0.002039,0.016765,-0.009567,-0.999812,6.479667,53.568672,-13.489234,0.685889
87,0.483333,-0.001981,0.016736,-0.009512,-0.999813,6.482174,53.569553,-13.485735,0.687862
88,0.488889,-0.001835,0.016814,-0.009616,-0.999811,6.480545,53.570488,-13.500696,0.661797
89,0.494444,-0.001886,0.016803,-0.009564,-0.999811,6.488801,53.565311,-13.502349,0.687673
90,0.500000,-0.001798,0.016816,-0.009685,-0.999810,6.478242,53.565018,-13.506009,0.692941
91,0.505556,-0.001927,0.016797,-0.009587,-0.999811,6.478976,53.567959,-13.495753,0.651234
92,0.511111,-0.001972,0.016770,-0.009579,-0.999812,6.485969,53.566578,-13.495465,0.678664
93,0.516667,-0.002041,0.016912,-0.009622,-0.999809,6.481082,53.561768,-13.503619,0.639540
94,0.522222,-0.001952,0.016788,-0.009580,-0.999811,6.481161,53.557278,-13.498529,0.685144
95,0.527778,-0.002005,0.016763,-0.009545,-0.999812,6.483244,53.573509,-13.486076,0.682454
96,0.533333,-0.002005,0.016787,-0.009581,-0.999811,6.487541,53.568195,-13.491067,0.638610
97,0.538889,-0.002009,0.016920,-0.009617,-0.999809,6.482254,53.560467,-13.505274,0.638441
98,0.544444,-0.002038,0.016907,-0.009652,-0.999808,6.479404,53.562313,-13.502728,0.672662
99,0.550000,-0.002039,0.016935,-0.009679,-0.999808,6.489380,53.555202,-13.508798,0.668401
100,0.555556,-0.001971,0.016871,-0.009611,-0.999810,6.491256,53.560081,-13.500277,0.651040
101,0.561111,-0.002041,0.016795,-0.009548,-0.999811,6.484618,53.572544,-13.484509,0.641690
102,0.566667,-0.001960,0.016784,-0.009554,-0.999812,6.483599,53.568596,-13.492112,0.682116
103,0.572222,-0.002080,0.016860,-0.009607,-0.999810,6.483996,53.570423,-13.496120,0.662772
104,0.577778,-0.001984,0.016768,-0.009555,-0.999812,6.478257,53.573421,-13.491457,0.674963
105,0.583333,-0.002011,0.016807,-0.009613,-0.999811,6.482241,53.576012,-13.492161,0.680508
106,0.588889,-0.002010,0.016789,-0.009535,-0.999812,6.478361,53.577667,-13.485519,0.680692
107,0.594444,-0.002095,0.016904,-0.009578,-0.999809,6.491268,53.570065,-13.491650,0.639395
108,0.600000,-0.001948,0.016820,-0.009576,-0.999811,6.480842,53.562828,-13.494713,0.676098
109,0.605556,-0.002016,0.016810,-0.009581,-0.999811,6.494079,53.568787,-13.486217,0.657511
110,0.611111,-0.001995,0.016820,-0.009601,-0.999810,6.491734,53.563423,-13.495528,0.683919
111,0.616667,-0.002034,0.016944,-0.009666,-0.999808,6.488880,53.558079,-13.503758,0.670899
112,0.622222,-0.001952,0.016820,-0.009554,-0.999811,6.482482,53.568375,-13.493078,0.643818
113,0.627778,-0.002039,0.016840,-0.009594,-0.999810,6.477283,53.569180,-13.489590,0.672117
114,0.633333,-0.002106,0.016885,-0.009631,-0.999809,6.479620,53.577919,-13.490565,0.635757
115,0.638889,-0.002022,0.016881,-0.009604,-0.999809,6.492669,53.573383,-13.494432,0.646513
116,0.644444,-0.002013,0.016842,-0.009579,-0.999810,6.487982,53.569630,-13.490415,0.645594
117,0.650000,-0.001964,0.016801,-0.009590,-0.999811,6.480911,53.564358,-13.489756,0.681870
118,0.655556,-0.002010,0.016784,-0.009576,-0.999811,6.484555,53.567913,-13.485257,0.658916
119,0.661111,-0.002046,0.016808,-0.009540,-0.999811,6.489721,53.580204,-13.480387,0.647882
120,0.666667,-0.002099,0.016913,-0.009668,-0.999808,6.486810,53.567245,-13.491348,0.637455
121,0.672222,-0.002051,0.016844,-0.009594,-0.999810,6.484302,53.570950,-13.488752,0.642884
122,0.677778,-0.002068,0.016919,-0.009653,-0.999808,6.478876,53.565716,-13.498857,0.665912
123,0.683333,-0.002030,0.016802,-0.009575,-0.999811,6.486205,53.574184,-13.490180,0.646071
124,0.688889,-0.002035,0.016909,-0.009649,-0.999808,6.485159,53.568844,-13.493547,0.639627
125,0.694444,-0.001948,0.016824,-0.009623,-0.999810,6.481802,53.569469,-13.491467,0.646468
126,0.700000,-0.001973,0.016858,-0.009581,-0.999810,6.489412,53.571621,-13.492470,0.642408
127,0.705556,-0.001932,0.016846,-0.009574,-0.999810,6.486722,53.561966,-13.491274,0.690157
128,0.711111,-0.001986,0.016760,-0.009546,-0.999812,6.482554,53.572849,-13.481804,0.648770
129,0.716667,-0.001886,0.016904,-0.009637,-0.999809,6.472214,53.566067,-13.501717,0.680324
130,0.722222,-0.001855,0.016850,-0.009645,-0.999810,6.478968,53.576168,-13.496782,0.661023
131,0.727778,-0.001941,0.016818,-0.009582,-0.999811,6.483725,53.573162,-13.494226,0.641890
132,0.733333,-0.002009,0.016916,-0.009648,-0.999808,6.487712,53.559269,-13.503322,0.633922
133,0.738889,-0.002066,0.016962,-0.009697,-0.999807,6.483511,53.556648,-13.502236,0.635111
134,0.744444,-0.002111,0.016962,-0.009675,-0.999807,6.486993,53.562435,-13.496526,0.631328
135,0.750000,-0.002086,0.016933,-0.009632,-0.999808,6.484675,53.563046,-13.504541,0.631959
136,0.755556,-0.001833,0.016835,-0.009688,-0.999810,6.471537,53.559471,-13.505218,0.693639
137,0.761111,-0.001972,0.016796,-0.009577,-0.999811,6.480284,53.566269,-13.488632,0.646497
138,0.766667,-0.001989,0.016832,-0.009595,-0.999810,6.486374,53.568718,-13.493957,0.642002
139,0.772222,-0.002054,0.016862,-0.009598,-0.999810,6.477444,53.569267,-13.494228,0.634047
140,0.777778,-0.002039,0.016906,-0.009634,-0.999809,6.482893,53.568062,-13.503393,0.632305
141,0.783333,-0.001986,0.016845,-0.009546,-0.999811,6.491066,53.573765,-13.494300,0.646975
142,0.788889,-0.001995,0.016830,-0.009588,-0.999810,6.500731,53.566902,-13.490297,0.645375
143,0.794444,-0.001977,0.016819,-0.009640,-0.999810,6.488024,53.567802,-13.493638,0.642787
144,0.800000,-0.002000,0.016873,-0.009695,-0.999809,6.474134,53.558002,-13.506684,0.630111
145,0.805556,-0.001941,0.016801,-0.009619,-0.999811,6.468962,53.560173,-13.501514,0.643568
146,0.811111,-0.001974,0.016799,-0.009557,-0.999811,6.487443,53.568794,-13.493796,0.644861
147,0.816667,-0.002002,0.016821,-0.009570,-0.999811,6.486918,53.573002,-13.494661,0.641169
148,0.822222,-0.002019,0.016739,-0.009531,-0.999812,6.484385,53.576233,-13.484391,0.646311
149,0.827778,-0.001945,0.016777,-0.009574,-0.999812,6.485362,53.566788,-13.493485,0.648885
150,0.833333,-0.001906,0.016744,-0.009553,-0.999812,6.477249,53.584637,-13.486841,0.648554
151,0.838889,-0.002012,0.016783,-0.009518,-0.999812,6.484420,53.575485,-13.484547,0.641629
152,0.844444,-0.001988,0.016769,-0.009519,-0.999812,6.486200,53.572609,-13.488121,0.686852
153,0.850000,-0.001951,0.016772,-0.009547,-0.999812,6.485122,53.563931,-13.492003,0.685616
154,0.855556,-0.001959,0.016767,-0.009532,-0.999812,6.476925,53.567799,-13.492664,0.645006
155,0.861111,-0.002037,0.016737,-0.009513,-0.999813,6.473754,53.575321,-13.486597,0.649267
156,0.866667,-0.002060,0.016797,-0.009543,-0.999811,6.479425,53.581871,-13.488219,0.671777
157,0.872222,-0.002012,0.016899,-0.009659,-0.999809,6.474362,53.561646,-13.506196,0.637490
158,0.877778,-0.002036,0.016799,-0.009567,-0.999811,6.480199,53.567600,-13.492636,0.648874
159,0.883333,-0.001991,0.016816,-0.009637,-0.999810,6.485713,53.564655,-13.497483,0.643084
160,0.888889,-0.002012,0.016886,-0.009645,-0.999809,6.479141,53.561069,-13.507489,0.666679
161,0.894444,-0.001912,0.016827,-0.009672,-0.999810,6.477968,53.572834,-13.501884,0.655938
162,0.900000,-0.001953,0.016803,-0.009585,-0.999811,6.480798,53.567307,-13.499194,0.670268
163,0.905556,-0.001972,0.016798,-0.009580,-0.999811,6.479432,53.568417,-13.498183,0.646678
164,0.911111,-0.001965,0.016818,-0.009609,-0.999810,6.483930,53.569973,-13.495858,0.652584
165,0.916667,-0.001991,0.016800,-0.009604,-0.999811,6.481970,53.571381,-13.496979,0.637990
166,0.922222,-0.001934,0.016793,-0.009571,-0.999811,6.481314,53.560627,-13.501240,0.643077
167,0.927778,-0.001940,0.016774,-0.009563,-0.999812,6.478934,53.559429,-13.497462,0.646374
168,0.933333,-0.002029,0.016882,-0.009633,-0.999809,6.472507,53.555012,-13.505997,0.633523
169,0.938889,-0.002035,0.016831,-0.009626,-0.999810,6.486810,53.562439,-13.497824,0.647894
170,0.944444,-0.001988,0.016799,-0.009609,-0.999811,6.481483,53.563351,-13.495758,0.651686
171,0.950000,-0.001993,0.016763,-0.009604,-0.999811,6.476640,53.568249,-13.499200,0.645159
172,0.955556,-0.002014,0.016752,-0.009578,-0.999812,6.480681,53.579910,-13.490636,0.647829
173,0.961111,-0.002083,0.016867,-0.009569,-0.999810,6.480670,53.576462,-13.503952,0.633426
174,0.966667,-0.001862,0.016845,-0.009655,-0.999810,6.475666,53.574230,-13.503725,0.680090
175,0.972222,-0.001989,0.016792,-0.009590,-0.999811,6.479271,53.579636,-13.491777,0.649453
176,0.977778,-0.001977,0.016747,-0.009561,-0.999812,6.481713,53.569717,-13.492657,0.647470
177,0.983333,-0.001965,0.016892,-0.009676,-0.999809,6.481151,53.570885,-13.502357,0.641636
178,0.988889,-0.001992,0.016889,-0.009649,-0.999809,6.474515,53.562378,-13.507885,0.669690
179,0.994444,-0.001914,0.016810,-0.009617,-0.999811,6.477474,53.575066,-13.494355,0.687310
180,1.000000,-0.002044,0.016889,-0.009620,-0.999809,6.479641,53.570049,-13.502936,0.632837
181,1.005556,-0.002019,0.016766,-0.009585,-0.999812,6.483737,53.569118,-13.497092,0.676040
182,1.011111,-0.002080,0.016895,-0.009654,-0.999809,6.482939,53.569775,-13.502481,0.640558
183,1.016667,-0.002008,0.016812,-0.009610,-0.999810,6.483271,53.572987,-13.503088,0.642041
184,1.022222,-0.002047,0.016769,-0.009567,-0.999812,6.475905,53.571938,-13.490101,0.680362
185,1.027778,-0.002054,0.016875,-0.009640,-0.999809,6.480725,53.561302,-13.503038,0.678737
186,1.033333,-0.002115,0.016900,-0.009627,-0.999809,6.484843,53.571575,-13.498832,0.637027
187,1.038889,-0.002050,0.016786,-0.009583,-0.999811,6.479936,53.574932,-13.486497,0.642980
188,1.044444,-0.002062,0.016814,-0.009557,-0.999811,6.471979,53.568729,-13.495276,0.677345
189,1.050000,-0.002062,0.016886,-0.009649,-0.999809,6.473873,53.568157,-13.504647,0.663383
190,1.055556,-0.001826,0.016849,-0.009668,-0.999810,6.473909,53.569939,-13.504700,0.656139
191,1.061111,-0.002033,0.016906,-0.009676,-0.999808,6.477351,53.575840,-13.498754,0.634935
192,1.066667,-0.002009,0.016873,-0.009634,-0.999809,6.495252,53.571568,-13.500114,0.676551
193,1.072222,-0.001988,0.016790,-0.009552,-0.999811,6.484554,53.569290,-13.492275,0.641434
194,1.077778,-0.002026,0.016790,-0.009583,-0.999811,6.488538,53.574226,-13.493739,0.649805
195,1.083333,-0.001873,0.016828,-0.009621,-0.999810,6.473586,53.570030,-13.500351,0.694470
196,1.088889,-0.001993,0.016822,-0.009621,-0.999810,6.479703,53.572601,-13.500076,0.645562
197,1.094444,-0.002055,0.016834,-0.009643,-0.999810,6.482904,53.572350,-13.503419,0.678560
198,1.100000,-0.002018,0.016797,-0.009635,-0.999810,6.478992,53.571251,-13.495071,0.650357
199,1.105556,-0.002088,0.016855,-0.009608,-0.999810,6.483880,53.570049,-13.494540,0.668815
200,1.111111,-0.002098,0.016893,-0.009649,-0.999809,6.477150,53.563717,-13.499776,0.664678
201,1.116667,-0.002029,0.016834,-0.009581,-0.999810,6.481592,53.567844,-13.496132,0.679037
202,1.122222,-0.001995,0.016794,-0.009562,-0.999811,6.487875,53.572750,-13.495998,0.676562
203,1.127778,-0.002129,0.016903,-0.009612,-0.999809,6.492991,53.570999,-13.496158,0.637164
204,1.133333,-0.002033,0.016796,-0.009589,-0.999811,6.486156,53.572414,-13.492098,0.680721
205,1.138889,-0.002056,0.016796,-0.009526,-0.999812,6.484372,53.579979,-13.486788,0.657180
206,1.144444,-0.002077,0.016764,-0.009566,-0.999812,6.481117,53.583374,-13.486139,0.644097
207,1.150000,-0.002071,0.016792,-0.009580,-0.999811,6.482975,53.576069,-13.484720,0.683340
208,1.155556,-0.002058,0.016769,-0.009551,-0.999812,6.484379,53.577240,-13.480733,0.646527
209,1.161111,-0.002028,0.016797,-0.009551,-0.999811,6.487746,53.569046,-13.483798,0.683802
210,1.166667,-0.002039,0.016796,-0.009568,-0.999811,6.490943,53.567444,-13.486031,0.687190
211,1.172222,-0.002089,0.016867,-0.009598,-0.999810,6.490072,53.565033,-13.491937,0.663578
212,1.177778,-0.002025,0.016864,-0.009632,-0.999809,6.494546,53.569798,-13.493863,0.645828
213,1.183333,-0.001998,0.016806,-0.009597,-0.999811,6.483583,53.567234,-13.485280,0.683884
214,1.188889,-0.002011,0.016853,-0.009625,-0.999810,6.486406,53.568775,-13.494801,0.647104
215,1.194444,-0.002011,0.016896,-0.009695,-0.999808,6.483995,53.575676,-13.500272,0.672206
216,1.200000,-0.001902,0.016844,-0.009716,-0.999809,6.484258,53.573906,-13.504581,0.644799
217,1.205556,-0.002055,0.016940,-0.009668,-0.999808,6.487549,53.568958,-13.503677,0.635469
218,1.211111,-0.002093,0.016890,-0.009597,-0.999809,6.480944,53.560791,-13.494833,0.670682
219,1.216667,-0.002061,0.016785,-0.009563,-0.999811,6.480967,53.563858,-13.483489,0.676773
220,1.222222,-0.002098,0.016879,-0.009640,-0.999809,6.476192,53.557648,-13.492219,0.640507
221,1.227778,-0.002024,0.016808,-0.009561,-0.999811,6.482734,53.560974,-13.488518,0.650365
222,1.233333,-0.001993,0.016769,-0.009585,-0.999812,6.484285,53.567543,-13.483504,0.646150
223,1.238889,-0.001920,0.016825,-0.009653,-0.999810,6.484318,53.575253,-13.487661,0.661960
224,1.244444,-0.001950,0.016784,-0.009558,-0.999812,6.477835,53.570774,-13.483740,0.672952
225,1.250000,-0.001998,0.016777,-0.009544,-0.999812,6.483435,53.570835,-13.479509,0.649097
226,1.255556,-0.001990,0.016766,-0.009541,-0.999812,6.477871,53.571880,-13.479824,0.682651
227,1.261111,-0.001935,0.016908,-0.009673,-0.999808,6.478120,53.566830,-13.496838,0.676549
228,1.266667,-0.001987,0.016768,-0.009562,-0.999812,6.476167,53.577133,-13.484373,0.645825
229,1.272222,-0.002091,0.016878,-0.009599,-0.999809,6.477076,53.568443,-13.485610,0.635290
230,1.277778,-0.001954,0.016803,-0.009624,-0.999811,6.481289,53.572826,-13.480397,0.649612
